Emotions,Path
Fear,Datasets\CREMA-D\1038_IWW_FEA_XX.wav
Neutral,Datasets\RAVDESS\Actor_19\03-01-02-01-02-01-19.wav
Anger,Datasets\JL\female2_angry_13a_1.wav
Sadness,Datasets\RAVDESS\Actor_22\03-01-04-01-02-02-22.wav
Surprise,Datasets\RAVDESS\Actor_02\03-01-08-01-01-02-02.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000289.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000163.wav
Surprise,Datasets\RAVDESS\Actor_03\03-01-08-02-02-01-03.wav
Fear,Datasets\TESS\YAF_fear\YAF_vote_fear.wav
Disgust,Datasets\RAVDESS\Actor_07\03-01-07-01-01-01-07.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_page_neutral.wav
Neutral,Datasets\ESD\0012\Neutral\0012_000028.wav
Sadness,Datasets\ESD\0014\Sad\0014_001063.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_king_neutral.wav
Happiness,Datasets\JL\male2_happy_12a_1.wav
Sadness,Datasets\CREMA-D\1011_IEO_SAD_HI.wav
Fear,Datasets\CREMA-D\1078_IOM_FEA_XX.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000194.wav
Disgust,Datasets\CREMA-D\1030_IWL_DIS_XX.wav
Sadness,Datasets\ESD\0019\Sad\0019_001136.wav
Anger,Datasets\CREMA-D\1061_WSI_ANG_XX.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_deep_neutral.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000181.wav
Anger,Datasets\ESD\0015\Angry\0015_000479.wav
Sadness,Datasets\ESD\0014\Sad\0014_001083.wav
Anger,Datasets\ESD\0018\Angry\0018_000658.wav
Sadness,Datasets\ESD\0015\Sad\0015_001170.wav
Neutral,Datasets\RAVDESS-SONG\Actor_13\03-02-01-01-01-01-13.wav
Fear,Datasets\CREMA-D\1037_IEO_FEA_LO.wav
Neutral,Datasets\CREMA-D\1019_IEO_NEU_XX.wav
Surprise,Datasets\ESD\0019\Surprise\0019_001581.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001497.wav
Anger,Datasets\ESD\0019\Angry\0019_000633.wav
Anger,Datasets\ESD\0019\Angry\0019_000548.wav
Anger,Datasets\TESS\YAF_angry\YAF_book_angry.wav
Sadness,Datasets\ESD\0018\Sad\0018_001148.wav
Happiness,Datasets\CREMA-D\1063_WSI_HAP_XX.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-14-98-02-02-02-38.wav
Disgust,Datasets\CREMA-D\1033_TAI_DIS_XX.wav
Anger,Datasets\ESD\0019\Angry\0019_000536.wav
Anger,Datasets\ESD\0015\Angry\0015_000397.wav
Happiness,Datasets\ESD\0012\Happy\0012_000805.wav
Anger,Datasets\ESD\0016\Angry\0016_000476.wav
Happiness,Datasets\ESD\0012\Happy\0012_001000.wav
Happiness,Datasets\CREMA-D\1043_IEO_HAP_MD.wav
Happiness,Datasets\RAVDESS\Actor_04\03-01-03-02-02-02-04.wav
Fear,Datasets\TESS\YAF_fear\YAF_germ_fear.wav
Fear,Datasets\TESS\YAF_fear\YAF_shack_fear.wav
Sadness,Datasets\ESD\0015\Sad\0015_001301.wav
Anger,Datasets\ESD\0017\Angry\0017_000521.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001594.wav
Neutral,Datasets\CREMA-D\1020_IEO_NEU_XX.wav
Fear,Datasets\CREMA-D\1060_ITS_FEA_XX.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001423.wav
Sadness,Datasets\ESD\0015\Sad\0015_001065.wav
Anger,Datasets\ESD\0017\Angry\0017_000626.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_make_neutral.wav
Neutral,Datasets\SAVEE\JE\n04.wav
Happiness,Datasets\RAVDESS-SONG\Actor_20\03-02-03-02-01-02-20.wav
Neutral,Datasets\CREMA-D\1021_IEO_NEU_XX.wav
Sadness,Datasets\ESD\0018\Sad\0018_001097.wav
Anger,Datasets\ESD\0014\Angry\0014_000429.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-87-63-02-02-02.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_search_neutral.wav
Happiness,Datasets\CREMA-D\1053_TSI_HAP_XX.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001686.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_check_disgust.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_week_ps.wav
Disgust,Datasets\CREMA-D\1090_IEO_DIS_LO.wav
Anger,Datasets\CREMA-D\1059_MTI_ANG_XX.wav
Disgust,Datasets\CREMA-D\1010_IEO_DIS_LO.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001488.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001517.wav
Sadness,Datasets\CREMA-D\1055_MTI_SAD_XX.wav
Fear,Datasets\CREMA-D\1069_TIE_FEA_XX.wav
Neutral,Datasets\RAVDESS\Actor_18\03-01-01-01-01-02-18.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-33-28-02-02-02-02.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001450.wav
Happiness,Datasets\ESD\0017\Happy\0017_001036.wav
Fear,Datasets\CREMA-D\1041_DFA_FEA_XX.wav
Fear,Datasets\CREMA-D\1017_WSI_FEA_XX.wav
Sadness,Datasets\ESD\0011\Sad\0011_001399.wav
Neutral,Datasets\CREMA-D\1066_ITH_NEU_XX.wav
Fear,Datasets\CREMA-D\1012_IWW_FEA_XX.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001692.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001402.wav
Fear,Datasets\CREMA-D\1080_ITH_FEA_XX.wav
Happiness,Datasets\ESD\0017\Happy\0017_000941.wav
Fear,Datasets\TESS\OAF_Fear\OAF_fit_fear.wav
Fear,Datasets\CREMA-D\1054_IEO_FEA_LO.wav
Neutral,Datasets\RAVDESS\Actor_20\03-01-02-01-01-01-20.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000020.wav
Sadness,Datasets\CREMA-D\1059_IEO_SAD_LO.wav
Disgust,Datasets\CREMA-D\1066_DFA_DIS_XX.wav
Anger,Datasets\TESS\YAF_angry\YAF_mouse_angry.wav
Sadness,Datasets\ESD\0016\Sad\0016_001138.wav
Sadness,Datasets\CREMA-D\1059_ITH_SAD_XX.wav
Anger,Datasets\ESD\0020\Angry\0020_000550.wav
Anger,Datasets\CREMA-D\1080_IEO_ANG_MD.wav
Sadness,Datasets\ESD\0015\Sad\0015_001293.wav
Happiness,Datasets\TESS\YAF_happy\YAF_hurl_happy.wav
Anger,Datasets\ESD\0011\Angry\0011_000353.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000276.wav
Anger,Datasets\ASVP\ASVP4\03-01-05-01-06-103-02-02-02-15.wav
Sadness,Datasets\RAVDESS\Actor_22\03-01-04-01-02-01-22.wav
Sadness,Datasets\CREMA-D\1040_MTI_SAD_XX.wav
Fear,Datasets\RAVDESS\Actor_23\03-01-06-02-02-01-23.wav
Happiness,Datasets\ESD\0012\Happy\0012_000998.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001633.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000056.wav
Happiness,Datasets\ESD\0015\Happy\0015_000930.wav
Neutral,Datasets\CREMA-D\1081_WSI_NEU_XX.wav
Neutral,Datasets\CREMA-D\1086_IEO_NEU_XX.wav
Happiness,Datasets\CREMA-D\1081_IEO_HAP_HI.wav
Neutral,Datasets\CREMA-D\1067_DFA_NEU_XX.wav
Happiness,Datasets\ESD\0011\Happy\0011_000949.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000137.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000057.wav
Happiness,Datasets\CREMA-D\1067_TSI_HAP_XX.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000155.wav
Sadness,Datasets\ESD\0013\Sad\0013_001280.wav
Happiness,Datasets\ESD\0018\Happy\0018_000790.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001546.wav
Sadness,Datasets\ESD\0013\Sad\0013_001205.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000162.wav
Sadness,Datasets\ESD\0011\Sad\0011_001387.wav
Fear,Datasets\CREMA-D\1072_MTI_FEA_XX.wav
Anger,Datasets\ESD\0019\Angry\0019_000550.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-19-60-02-02-02.wav
Anger,Datasets\ESD\0019\Angry\0019_000409.wav
Anger,Datasets\ESD\0018\Angry\0018_000630.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000130.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000178.wav
Sadness,Datasets\CREMA-D\1029_MTI_SAD_XX.wav
Happiness,Datasets\ESD\0019\Happy\0019_000943.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001413.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000016.wav
Sadness,Datasets\ESD\0011\Sad\0011_001052.wav
Sadness,Datasets\ESD\0019\Sad\0019_001238.wav
Sadness,Datasets\ESD\0014\Sad\0014_001218.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_raid_ps.wav
Disgust,Datasets\CREMA-D\1029_TAI_DIS_XX.wav
Fear,Datasets\CREMA-D\1063_WSI_FEA_XX.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001528.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-02-15-51-02-02-02-15-01.wav
Sadness,Datasets\ESD\0017\Sad\0017_001358.wav
Anger,Datasets\ESD\0014\Angry\0014_000382.wav
Anger,Datasets\ESD\0015\Angry\0015_000366.wav
Anger,Datasets\ESD\0011\Angry\0011_000446.wav
Disgust,Datasets\ASVP\ASVP5\03-01-07-01-01-46-02-01-02.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001403.wav
Happiness,Datasets\ESD\0015\Happy\0015_000799.wav
Sadness,Datasets\CREMA-D\1001_WSI_SAD_XX.wav
Neutral,Datasets\ASVP\ASVP6\03-01-02-01-01-128-02-02-02.wav
Fear,Datasets\CREMA-D\1046_MTI_FEA_XX.wav
Sadness,Datasets\ESD\0017\Sad\0017_001126.wav
Neutral,Datasets\CREMA-D\1055_IEO_NEU_XX.wav
Happiness,Datasets\CREMA-D\1007_TSI_HAP_XX.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_wash_disgust.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-01-03-28-02-02-02.wav
Fear,Datasets\CREMA-D\1071_TSI_FEA_XX.wav
